Key,Spanish,Euskera
Dialogo.Amonia.1,"Hola amoña, ¿has visto a Izaro?","Kaixo amoña, ikusi duzu Izaro? (froga)"
Dialogo.Amonia.2,"Hola pequeñin, si te soy sincera le pedi que me trajese unas lechugas de la huerta y unos huevos de gallina",
Dialogo.Amonia.3,Pero la verdad es que hace tiempo que se ha ido y todavía no ha vuelto.,
Dialogo.Amonia.4,¿Sabes donde se encuentra? He soñado algo increíble y quiero contarselo,
Dialogo.Amonia.5,Lo único que se es que sin huevos no puedo desayunar y sin lechuga no puedo hacer de comer,
Dialogo.Amonia.6,¿Puedes ir a la huerta? Seguramente se haya entretenido con algo de ahí,
Dialogo.Amonia.7,¡Hola Maria Angeles! ¿Qué tal la mañana?,
Dialogo.Amonia.8,"Bueno, te lo encargo pequeñin que voy a darle palique a Jose Ignacio",
Dialogo.Amonia.9,¿Todavía sigues aquí? ¡Yo que tu iría yendo que se le van las vitaminas a los huevos!,
Dialogo.Amonia.10,"Amoña, aquí tengo lo que me pediste.",
Dialogo.Amonia.11,Aunque tu huerta ha sido arrasada por unos jabalís. ,
Dialogo.Amonia.12,"Santo cielo, tendré que volver a plantar, ¿Se sabe algo de la pequeña?",
Dialogo.Amonia.13,"Una tal Zaloa la ha llamado, no tengo ni idea de quien es",
Dialogo.Amonia.14,"Es una amiga suya, la he visto correr al otro lado de pueblo. Parecía bastante agobiada.",
Dialogo.Amonia.15,Ahora ire a preguntarle Amoña. ,
Dialogo.Amonia.16,¿Sigues sin encontrarla? La vi yendo a la otra punta del pueblo,
Dialogo.Basajaun.1,"Estaba esperando tu llegado, Ciclope",Itxaroten ari nintzen. (froga)
Dialogo.Basajaun.2,¿Qué es lo que te trae por aquí?,
Dialogo.Basajaun.3,Hola Basajaun. He venido para saber el paradero de mi amiga y quien ataco la aldea.,
Dialogo.Basajaun.4,Los únicos con poder para mandar sobre los animales son Mari y Akerbeltz.,
Dialogo.Basajaun.5,"Para tu amiga, podría pedir información y para ello tendría que hablar con las critaturas del bosque",
Dialogo.Basajaun.6,"Mientras tanto, el fuego se ha expendido por el bosque. Ya que no puedo ir, apagalo tú.",
Dialogo.Basajaun.7,Te dejo el cubo que está al lado de mi casa,
Dialogo.Basajaun.8,"Date prisa, no vaya a ser que el fuego se expanda ",
Dialogo.Basajaun.9,"Pero esta información es muy valiosa. Necesito que me prometas que en un futuro, me devolveras el favor.",
Dialogo.Basajaun.10,"Está bien, acepto. ¿Donde esta Izaro?",
Dialogo.Basajaun.11,Los pajaros me han dicho que ha sido tu hermano mayor.,
Dialogo.Basajaun.12,Esta en el pico del monte Itzal esperando a Akerbeltz. Y la cabra está al llegar,
Dialogo.Basajaun.13,"Gracias Basajaun, no lo olvidaré",
Dialogo.Basajaun.14,"No hay tiempo que perder charlando, date vida Ciclope.",
Dialogo.Cazador.1,Hoy creo que debería tomarme un descanso. Ayer caze para alimentar 3 familias enteras,
Dialogo.Cazador.2,"Oye grandullón, no te sobraran un par de manos para ayudarme, ¿no?",
Dialogo.Cazador.3,¡Egurra ematera!,
Dialogo.Cazador.4,"Los cerdos atacando, lobos siendo agresivos... algo raro esta pasando en el bosque",
Dialogo.Cazador.5,"Hay alguien detrás de esto y de la desaparición de Izaro, ¿sabes algo al respecto?",
Dialogo.Cazador.6,"La verdad es que no. Esta situacion supera mis conocimientos. Ya sabes quien conoce todo lo que ocurre en el bosque, ¿verdad?",
Dialogo.Cazador.7,Tendré que hacerle una visita a Basajaun,
Dialogo.Zaloa.1,Siempre igual...,Beti berdin... (froga)
Dialogo.Zaloa.2,¡¿TE PARECE NORMAL SEGUIRME A TODAS PARTES CAZURRO?!,
Dialogo.Zaloa.3,"DÉJAME EN PAZ PESADO, TE HE DICHO MIL Y UNA VECES QUE NO QUIERO NADA CONTIGO",
Dialogo.Zaloa.4,ADEMÁS EL OLOR A ESTIERCOL HACE QUE SE ME NUBLE LA VISTA,
Dialogo.Zaloa.5,NO HAY NADIE EN ESTE PUEBLO QUE TE QUIERA TANTO COMO YO,
Dialogo.Zaloa.6,"Si no dejas en paz a la chavala, te voy a enseñar lo que es una mala opción",
Dialogo.Zaloa.7,Gra-gracias... Espero que ya se de por vencido,
Dialogo.Zaloa.8,¿Eres Zaloa la amiga de Izaro? La fui a buscar a su casa y Amoña me dijo que no sabe dónde está.,
Dialogo.Zaloa.9,Le deje una nota pero no la he visto. A lo mejor ha salido a por setas otra vez...,
Dialogo.Zaloa.10,¿Soy yo o huele a quemado?,
Dialogo.Zaloa.11,Ahora que lo dices...,
Dialogo.Zaloa.12,OIIIIINKKKKKKK,
Dialogo.Zaloa.13,NOS ATACAAAAN,
Dialogo.Zaloa.14,Espero que Izaro este bien...,
Hablador.Zaloa,Zaloa,Zaloa
Hablador.Amonia,"Amoña, aquí tengo lo que me pediste.",Abuela
